113,4802 Tenth Avenue, Brooklyn,NY,11219
114,Valhalla Campus, Valhalla,NY,10595
115,611 Saint Joseph Avenue, Marshfield,WI,54449
116,317 Martin Luther King  Jr. Way, Tacoma,WA,98415
117,200 First Street SW, Rochester,MN,55905
118,94 Old Short Hills Road, Livingston,NJ,7039
119,7777 Forest Lane, Dallas,TX,75230
120,1235 East Cherokee St, Springfield,MO,65804
121,615 South New Ballas Road, St. Louis,MO,63141
122,1111 6th Avenue, Des Moines,IA,50314
123,2801 Atlantic Avenue, Long Beach,CA,90806
124,2200 Children's Way, Nashville,TN,37232
125,1708 West Rogers Avenue, Baltimore,MD,21209
126,10 McClennan Banks Drive, Charleston,SC,29425
127,700 Children's Drive, Columbus,OH,43205
128,1600 Rockland Road, Wilmington,DE,19899
129,6535 Nemours Parkway, Orlando,FL,32827
130,525 East 68th Street, New York,NY,10065
131,3959 Broadway, New York,NY,10032
132,3100 SW 62nd Avenue, Miami,FL,33155
133,400 North State of Franklin Road, Johnson City,TN,37604
134,101 Manning Drive, Chapel Hill,NC,27514
135,231 East Chestnut Street, Louisville,KY,40202
136,200 Hawthorne Lane, Charlotte,NC,28233
137,1315 Jefferson Highway, New Orleans,LA,70121
138,1200 North Children's Avenue, Oklahoma City,OK,73104
139,530 NE Glen Oak Avenue, Peoria,IL,61637
140,5000 Hennessy Boulevard, Baton Rouge,LA,70808
141,500 University Drive, Hershey,PA,17033
142,2001 West 86th Street, Indianapolis,IN,46260
143,1919 East Thomas Road, Phoenix,AZ,85016
144,100 North Mario Capecchi Drive, Salt Lake City,UT,84113
145,2142 North Cove Boulevard, Toledo,OH,43606
146,9205 SW Barnes Road, Portland,OR,97225
147,3020 Children's Way, San Diego,CA,92123
148,2801 North Gantenbein Avenue, Portland,OR,97227
149,11365 Dorsett Road, Maryland Heights,MO,63043
150,1155 Mill Street, Reno,NV,89502
151,705 Riley Hospital Drive, Indianapolis,IN,46202
152,101 West Eighth Avenue, Spokane,WA,99204
153,1600 West 22nd Street, Sioux Falls,SD,57117
